tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row href,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3,tablescraper-selected-row 5,tablescraper-selected-row href 4,tablescraper-selected-row 28
Speech at Strasbourg Town Hall,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamastrasbourgARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Strasbourg%20Town%20Hall.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamastrasbourgspeech.htm,,,03 Apr 2009
Speech at Hradcany Square in Prague,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamapraguespeechARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Hradany%20Square%20Prague.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamapraguespeech.htm,,,05 Apr 2009
Speech to the Turkish Parliament,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamapraguespeech.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Turkish%20Parliament.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaturkishparliament.htm,,,06 Apr 2009
"Speech to 
		U.S. Troops Serving in Baghdad Iraq,mp3,https://www.americanrhetoric.com/mp3clipsXE/IraqWar/barackobamabaghdad040709ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iraq%20Multinational%20Troops.pdf,,https://www.americanrhetoric.com/speeches/wariniraq/barackobamairaqtroops040709.htm,,,07 Apr 2009"
A New Foundation Speech at Georgetown,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaeconomygeorgetownARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20New%20Foundation%20Georgetown.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaeconomicvisiongeorgetown.htm,,,14 Apr 2009
First Address at the Central Intelligence Agency,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaciafirstvisit2009ARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20CIA%20First%20Speech.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaCIAfirstvisit.htm,,,20 Apr 2009
Holocaust Days of Remembrance Ceremony Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaholocaustrembranceARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamaholocaustdaysofremembrance.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Holocaust%20Days%20of%20Remembrance.pdf,23 Apr 2009
White House Correspondents Dinner Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamawhitehousecorrespondentsdinnerARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamawhitehousecorrespondentsdinner2009.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20White%20House%20Correspondents%20Dinner%20First.pdf,09 May 2009
"Arizona State University Commencement 
		Address,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaasucommencementARXE.mp3,PDF,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaarizonastateuniversitycommencement.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20ASU%20Commencement.pdf,14 May 2009"
Joint Press Remarks with Benjamin Netanyahu,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaandbenjaminnetanyahu.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamajointpressbenjaminnetanyahu.htm,,,17 May 2009
Notre Dame University Commencement Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamanotredamecommencementARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Notre%20Dame%20Commencement.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamanotredamecommencement.htm,,,18 May 2009
National Security Speech at the National Archives,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamanationalarchivesARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20National%20Security%20National%20Archives.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamanationalarchives.htm,,,21 May 2009
Speech on Securing U.S. Cybersecurity Infrastructure,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacybersecurityinfrastructureARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Cyber%20Infrastructure%20US.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamacybersecurity.htm,,,29 May 2009
"""New Beginning"" Speech at Cairo University,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamacairouniversityARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Cairo%20University.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamacairouniversity.htm,,,04 Jun 2009"
Speech at Buchenwald Concentration Camp,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamabuchenwaldspeech.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamabuchenwaldconcentrationcamp.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Buchenwald%20Concentration%20Camp.pdf,04 Jun 2009
Speech Marking the 65th Anniversary of D-Day,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobama65thddayanniversary.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamadday65anniversary.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20DDay%2065.pdf,05 Jun 2009
American Medical Association Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaamericanmedicalassociationARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20American%20Medical%20Association.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamaamericanmedicalassociation.htm,,,15 Jun 2009
On the Dignity & Courage of the Iranian Peoples,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamairanuprisingARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Dignity%20and%20Courage%20of%20Iranians.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamauprisingiran.htm,,,23 Jun 2009
